Molecule Name,∆LFQ,Std. Dev.,P-Value,Molecule Type
YME1 (YPR024w),-4.25226,0.161127,1.48895E-06,PROTEIN
Orotic Acid,-1.54729,0.0403477,9.58292E-06,METABOLITE
PYC2 (YBR218c),0.630888,0.0313716,1.26711E-05,PROTEIN
SEC24 (YIL109c),0.894857,0.0447972,1.59812E-05,PROTEIN
DAK1 (YML070w),0.334401,0.0275465,3.89466E-05,PROTEIN
REP2 (R0040c),-3.59264,0.322517,4.6102E-05,PROTEIN
ARI1 (YGL157w),1.11711,0.101718,6.29425E-05,PROTEIN
AYR1 (YIL124w),1.09296,0.10169,6.3529E-05,PROTEIN
IRC24 (YIR036c),1.26055,0.0875537,7.76172E-05,PROTEIN
GRE2 (YOL151w),1.43714,0.104189,0.000120645,PROTEIN
GLT1 (YDL171c),-0.558084,0.0651123,0.000123061,PROTEIN
RHR2 (YIL053W),0.892839,0.0423309,0.000157628,PROTEIN
RRP14 (YKL082c),-0.432428,0.0482426,0.000174427,PROTEIN
TAN1 (YGL232w),-0.234032,0.00819564,0.000184517,PROTEIN
FET5 (YFL041w),0.72298,0.0828096,0.000193266,PROTEIN
FES1 (YBR101c),0.238659,0.0301623,0.000210343,PROTEIN
DOT5 (YIL010w),1.08214,0.123153,0.000216683,PROTEIN
HSP10 (YOR020c),0.705477,0.0939469,0.00023037,PROTEIN
IRR1 (YIL026c),1.03327,0.0523683,0.000232961,PROTEIN
CAR2 (YLR438w),1.09873,0.0736422,0.000244325,PROTEIN
RPB5 (YBR154c),-0.482132,0.0539328,0.000248814,PROTEIN
SQT1 (YIR012w),0.867969,0.101501,0.000253854,PROTEIN
DUR12 (YBR208c),1.67679,0.0358788,0.000259581,PROTEIN
ALT1 (YLR089c),-0.620769,0.0874529,0.000260299,PROTEIN
GSC2 (YGR032w),3.03431,0.391037,0.000268385,PROTEIN
ERG1 (YGR175c),-0.55233,0.069738,0.000285697,PROTEIN
MET18 (YIL128w),1.00432,0.0559883,0.000325043,PROTEIN
TOM22 (YNL131W),-0.602164,0.0189135,0.000338713,PROTEIN
GVP36 (YIL041w),0.947652,0.0205457,0.000347417,PROTEIN
YIL108W (YIL108w),1.0428,0.0830752,0.000367546,PROTEIN
TMA108 (YIL137c),0.969941,0.113253,0.000374172,PROTEIN
CKA1 (YIL035c),1.02012,0.14192,0.000375092,PROTEIN
PUF4 (YGL014w),-0.20153,0.0261333,0.000398825,PROTEIN
HIS5 (YIL116w),1.06786,0.16526,0.000421476,PROTEIN
HSP104 (YLL026w),0.754285,0.0942554,0.000447768,PROTEIN
HEM1 (YDR232w),-0.545448,0.0844991,0.000472134,PROTEIN
PAN1 (YIR006c),0.558883,0.0472532,0.000518749,PROTEIN
GPT2 (YKR067w),0.750746,0.00656818,0.000536147,PROTEIN
RPN2 (YIL075C),0.665643,0.0853704,0.000549901,PROTEIN
DAG(18:1/18:1),0.321203,0.00568796,0.000559081,LIPID
TIM44 (YIL022w),0.782996,0.00410232,0.000591679,PROTEIN
LYS12 (YIL094c),0.924182,0.0882595,0.000595294,PROTEIN
DJP1 (YIR004w),0.844584,0.0839589,0.000605744,PROTEIN
SHQ1 (YIL104c),1.3209,0.222815,0.000630888,PROTEIN
EPS1 (YIL005w),0.846007,0.121479,0.000652865,PROTEIN
RTT102 (YGR275w),-0.716301,0.0413435,0.000666883,PROTEIN
PRI1 (YIR008c),0.843888,0.146779,0.000671014,PROTEIN
CHA1 (YCL064c),-1.90707,0.299901,0.000720464,PROTEIN
GTT1 (YIR038c),1.58808,0.232151,0.000728997,PROTEIN
NEO1 (YIL048w),0.990978,0.133152,0.00073274,PROTEIN
SSM4 (YIL030c),0.947704,0.150101,0.000750083,PROTEIN
TSL1 (YML100w),0.966041,0.140646,0.000762725,PROTEIN
PGM2 (YMR105c),1.54397,0.233952,0.000796352,PROTEIN
SRO9 (YCL037c),-0.387383,0.0702063,0.000820669,PROTEIN
VIP1 (YLR410w),-0.251223,0.0443594,0.000822165,PROTEIN
GCD14 (YJL125c),-0.424944,0.0412803,0.000868443,PROTEIN
YOR1 (YGR281w),0.611274,0.074065,0.000894108,PROTEIN
PAN6 (YIL145c),0.832117,0.135905,0.000933358,PROTEIN
GLK1 (YCL040w),0.922334,0.0470401,0.000956195,PROTEIN
DAG(18:1/16:1),0.342008,0.0453556,0.000994204,LIPID
TED1 (YIL039w),0.795177,0.0499355,0.000998755,PROTEIN
OPT1 (YJL212c),-0.881225,0.172956,0.001030063,PROTEIN
VTC3 (YPL019c),-0.455471,0.0813506,0.001048038,PROTEIN
RPS14B (YJL191W),-0.367951,0.0746904,0.001057907,PROTEIN
AIM17 (YHL021c),0.720055,0.114486,0.001063977,PROTEIN
NSR1 (YGR159c),-0.268396,0.0380477,0.001066136,PROTEIN
HIS6 (YIL020c),0.868898,0.110207,0.001074237,PROTEIN
YVH1 (YIR026c),0.682425,0.0542738,0.001078836,PROTEIN
THS1 (YIL078w),0.819552,0.0964063,0.001086092,PROTEIN
Aspartic Acid,0.302689,0.0416114,0.001115306,METABOLITE
HOR2 (YER062c),0.830194,0.143945,0.001153529,PROTEIN
PET10 (YKR046C),0.659668,0.0452111,0.001165003,PROTEIN
PS(16:1/16:1),-0.482256,0.0630486,0.001210453,LIPID
PHO12;PHO11 (YHR215w;YAR071w),-1.36293,0.17948,0.001225507,PROTEIN
ADE6 (YGR061c),-0.412197,0.0755169,0.001229333,PROTEIN
CL(66:2),-0.836943,0.103033,0.001251813,LIPID
SSB2 (YNL209W),-0.318365,0.0541423,0.001279571,PROTEIN
SAG1 (YJR004c),-0.991837,0.112629,0.001283609,PROTEIN
LAT1 (YNL071w),-0.472297,0.0689555,0.001289426,PROTEIN
MET5 (YJR137c),0.66897,0.126258,0.0013095,PROTEIN
Ornithine (4TMS),0.686539,0.0853673,0.001315375,METABOLITE
ASK1 (YKL052c),0.24531,0.0405066,0.001322416,PROTEIN
COX15 (YER141w),-1.67331,0.352223,0.001349169,PROTEIN
FAS2 (YPL231w),-0.274062,0.0277646,0.001351005,PROTEIN
YHB1 (YGR234w),-1.20957,0.178878,0.001389863,PROTEIN
VTC2 (YFL004w),-0.508366,0.111766,0.001412696,PROTEIN
MIS1 (YBR084w),-0.464999,0.0689823,0.001456977,PROTEIN
MIX14 (YDR031w),-0.699954,0.063717,0.001499864,PROTEIN
KGD1 (YIL125w),0.650517,0.132441,0.001523725,PROTEIN
RPF1 (YHR088w),-0.327965,0.0559146,0.001527117,PROTEIN
AIM21 (YIR003w),0.905328,0.190615,0.001550461,PROTEIN
ELP6 (YMR312w),-1.04094,0.223752,0.001582196,PROTEIN
MLP2 (YIL149c),0.82358,0.068892,0.001625935,PROTEIN
ILV1 (YER086w),-0.843793,0.0766173,0.001640086,PROTEIN
MSD1 (YPL104w),1.53192,0.331168,0.001658509,PROTEIN
RHO2 (YNL090w),0.949057,0.19849,0.001742903,PROTEIN
LYS1 (YIR034C),1.06495,0.164619,0.001745354,PROTEIN
ARC15 (YIL062c),0.532044,0.120789,0.001767829,PROTEIN
CST6 (YIL036w),1.08898,0.106789,0.001778224,PROTEIN
PS(16:0/16:1),-0.54116,0.0342249,0.001785589,LIPID
HDA1 (YNL021w),-0.30727,0.0400216,0.001843722,PROTEIN
MET14 (YKL001c),0.903389,0.0862274,0.001846722,PROTEIN
MRPL20 (YKR085c),-1.07439,0.243653,0.001850169,PROTEIN
PDX1 (YGR193c),-0.435139,0.0514804,0.001885216,PROTEIN
RPS3 (YNL178W),-0.177529,0.0212026,0.00190729,PROTEIN
UTP8 (YGR128c),-0.251182,0.0263834,0.001951772,PROTEIN
STF2 (YGR008C),1.28025,0.256677,0.001975084,PROTEIN
NAB2 (YGL122c),-0.452196,0.0818598,0.001996054,PROTEIN
RPL8B (YLL045C),-0.311707,0.0622013,0.002011698,PROTEIN
NAS2 (YIL007c),1.36793,0.063601,0.002038825,PROTEIN
HSP42 (YDR171w),1.25141,0.270856,0.002041992,PROTEIN
BCY1 (YIL033C),0.794277,0.178738,0.002109822,PROTEIN
NOG2 (YNR053c),-0.460282,0.0464638,0.002156755,PROTEIN
PRD1 (YCL057w),0.316877,0.0316183,0.002191365,PROTEIN
PHO3 (YBR092c),-1.24645,0.0819188,0.002216741,PROTEIN
CUL3 (YGR003w),0.543168,0.0786531,0.002234919,PROTEIN
POR2 (YIL114c),1.68928,0.337303,0.002248119,PROTEIN
BMT6 (YLR063w),-0.66179,0.158129,0.002266658,PROTEIN
ARD1 (YHR013c),-0.355919,0.026625,0.002314954,PROTEIN
AHP1 (YLR109W),0.31213,0.0659312,0.002342791,PROTEIN
RPL6A (YML073C),-0.468531,0.0752348,0.002383513,PROTEIN
PHO8 (YDR481c),-0.470412,0.0642096,0.002404453,PROTEIN
MAM33 (YIL070c),1.26683,0.233738,0.002475509,PROTEIN
DLD2 (YDL178w),-0.648843,0.129921,0.002481264,PROTEIN
PHO84 (YML123c),-0.223568,0.055919,0.002492226,PROTEIN
RHO3 (YIL118w),0.828147,0.121475,0.0024966,PROTEIN
YHR162W (YHR162w),1.83032,0.448731,0.002509707,PROTEIN
SEE1 (YIL064w),0.904361,0.187635,0.002514401,PROTEIN
TAO3 (YIL129c),1.54318,0.211156,0.002529905,PROTEIN
NOP15 (YNL110c),-0.557636,0.0693618,0.002576955,PROTEIN
CYT1 (YOR065w),-1.31684,0.1144,0.002615986,PROTEIN
ACO2 (YJL200c),-0.64402,0.0845415,0.00264884,PROTEIN
RPB3 (YIL021w),0.555211,0.0774699,0.002677966,PROTEIN
CAB2 (YIL083c),0.810406,0.203777,0.002703055,PROTEIN
RPS28A;RPS28B (YOR167C;YLR264W),-0.277921,0.0467091,0.002732743,PROTEIN
Lysine,0.341562,0.0562708,0.002754788,METABOLITE
TPS1 (YBR126c),0.562929,0.146282,0.002781174,PROTEIN
HPC2 (YBR215w),-1.3423,0.316527,0.002830732,PROTEIN
MIC27 (YNL100w),0.909781,0.060518,0.002911697,PROTEIN
PG(16:0/16:1),0.915298,0.130806,0.002916585,LIPID
DID2 (YKR035w-a),0.382887,0.0497003,0.002919853,PROTEIN
PYC1 (YGL062w),1.19284,0.262477,0.002923639,PROTEIN
NSA2 (YER126c),-0.557058,0.125169,0.002940244,PROTEIN
PTR2 (YKR093w),1.14322,0.0790424,0.002977273,PROTEIN
CDC48 (YDL126c),0.349269,0.0524769,0.003024547,PROTEIN
SER33 (YIL074c),0.79246,0.0669382,0.003101902,PROTEIN
CCT2 (YIL142w),0.572157,0.143826,0.003147218,PROTEIN
YPK1 (YKL126w),0.333639,0.0728488,0.003175848,PROTEIN
PRE6 (YOL038w),0.28448,0.0670641,0.00319449,PROTEIN
Unidentified metabolite. RT 14.5736 (F),-0.621046,0.159709,0.003267722,METABOLITE
FUR1 (YHR128w),-0.386439,0.0574169,0.003280861,PROTEIN
PDR5 (YOR153w),0.794929,0.0830152,0.003284109,PROTEIN
CYS4 (YGR155w),-0.324498,0.0738822,0.003311855,PROTEIN
HPM1 (YIL110w),0.475239,0.0623601,0.003332056,PROTEIN
ASG1 (YIL130w),0.873767,0.107446,0.003371742,PROTEIN
MAK21 (YDR060w),-0.242455,0.0344821,0.003442718,PROTEIN
ECM1 (YAL059w),-0.468211,0.122782,0.003541995,PROTEIN
HCA4 (YJL033w),-0.242933,0.0595946,0.003594334,PROTEIN
PUP1 (YOR157c),0.256319,0.0671251,0.003658869,PROTEIN
EMI2 (YDR516c),0.527071,0.11061,0.003678842,PROTEIN
BUD20 (YLR074c),-0.339802,0.0733221,0.003701339,PROTEIN
RPT1 (YKL145w),0.323488,0.0855657,0.00371354,PROTEIN
TDA1 (YMR291w),0.520841,0.0981389,0.003757661,PROTEIN
GDH2 (YDL215c),0.670264,0.164967,0.003794901,PROTEIN
VHS2 (YIL135c),1.1552,0.290156,0.003850532,PROTEIN
MAE1 (YKL029c),-0.437041,0.0744426,0.003898894,PROTEIN
GPA1 (YHR005C),-0.558734,0.108856,0.003938184,PROTEIN
UTP18 (YJL069c),-0.239559,0.0466936,0.003964892,PROTEIN
AOS1 (YPR180w),-0.408539,0.0221829,0.003996276,PROTEIN
HSF1 (YGL073w),0.396154,0.107899,0.004025793,PROTEIN
FCY2 (YER056c),-0.451828,0.0872903,0.004136682,PROTEIN
ECM29 (YHL030w),0.315895,0.0807963,0.004182443,PROTEIN
CCP1 (YKR066c),-1.33705,0.369464,0.004194746,PROTEIN
PEP4 (YPL154c),0.533508,0.109203,0.004245679,PROTEIN
MGA2 (YIR033w),1.45723,0.245494,0.004255963,PROTEIN
ADE4 (YMR300c),-0.475073,0.0934742,0.004257421,PROTEIN
ILV3 (YJR016c),-0.423824,0.122097,0.004270231,PROTEIN
HSP12 (YFL014w),3.48689,0.859171,0.004284002,PROTEIN
ARO4 (YBR249c),-0.386962,0.0583148,0.004311762,PROTEIN
MET13 (YGL125w),0.553545,0.145107,0.004323512,PROTEIN
MET10 (YFR030w),0.749356,0.186561,0.004345392,PROTEIN
MAK11 (YKL021c),-0.301445,0.0898958,0.004422089,PROTEIN
FIS1 (YIL065c),1.15827,0.144134,0.004447083,PROTEIN
LYS9 (YNR050c),0.250968,0.062881,0.004466762,PROTEIN
GRE3 (YHR104w),0.547301,0.0856528,0.004482861,PROTEIN
RPG1 (YBR079c),-0.208165,0.0488423,0.004527655,PROTEIN
AMS1 (YGL156w),3.20291,0.511745,0.004531394,PROTEIN
URA7 (YBL039c),-0.356681,0.0584833,0.004548754,PROTEIN
ZRT1 (YGL255w),-1.19507,0.31667,0.004639083,PROTEIN
TRM1 (YDR120C),-0.389585,0.0848167,0.004659386,PROTEIN
UGA1 (YGR019w),0.628731,0.135763,0.004670976,PROTEIN
SGN1 (YIR001c),0.952232,0.0404339,0.004709285,PROTEIN
IMD4 (YML056c),-0.480421,0.0980508,0.004751168,PROTEIN
DBP2 (YNL112w),-0.488641,0.11852,0.004792044,PROTEIN
NCE103 (YNL036w),3.74004,0.50978,0.004924815,PROTEIN
PDR16 (YNL231c),0.476821,0.0371922,0.00495185,PROTEIN
SAM3 (YPL274w),-1.19995,0.332941,0.005058081,PROTEIN
PUF3 (YLL013c),0.370878,0.072999,0.005060709,PROTEIN
RIB4 (YOL143c),-0.650299,0.101251,0.005080254,PROTEIN
POP4 (YBR257w),-0.975309,0.159671,0.005166945,PROTEIN
PPAB6,-4.85935,1.29637,0.005176108,LIPID
TWF1 (YGR080w),0.421347,0.104953,0.005176225,PROTEIN
CMK2 (YOL016c),0.579893,0.135486,0.005201835,PROTEIN
CL(64:2),-1.40855,0.327138,0.005253239,LIPID
POA1 (YBR022w),0.825036,0.160244,0.005259493,PROTEIN
NCL1 (YBL024w),-0.248414,0.021224,0.005316208,PROTEIN
SLT2 (YHR030c),0.254463,0.0385407,0.005329802,PROTEIN
PUT2 (YHR037w),0.153151,0.0319256,0.005337415,PROTEIN
UTP25 (YIL091c),0.753296,0.220901,0.005428629,PROTEIN
RCN2 (YOR220w),0.537223,0.162495,0.005429948,PROTEIN
PRE3 (YJL001w),0.295645,0.0556895,0.005513843,PROTEIN
RPA190 (YOR341w),-0.302106,0.0652652,0.005562905,PROTEIN
HAS1 (YMR290c),-0.331,0.101782,0.005580388,PROTEIN
Fumaric acid,0.427069,0.111887,0.005621494,METABOLITE
MRP8 (YKL142w),0.555942,0.0707229,0.00562198,PROTEIN
